,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,content_age,is_movie,watch_category
0,ts300399,Five Came Back: The Reference Films,SHOW,['documentation'],1945,TV-MA,1970-01-01 00:00:00.000000048,['documentation'],['US'],1.0,0,0.0,0.0,0.6,0.0,81,0,Low Rated
1,tm84618,Taxi Driver,MOVIE,"['crime', 'drama']",1976,R,1970-01-01 00:00:00.000000113,"['crime', 'drama']",['US'],0.0,tt0075314,8.3,795222.0,27.612,8.2,50,1,Highly Rated
2,tm127384,Monty Python and the Holy Grail,MOVIE,"['comedy', 'fantasy']",1975,PG,1970-01-01 00:00:00.000000091,"['comedy', 'fantasy']",['GB'],0.0,tt0071853,8.2,530877.0,18.216,7.8,51,1,Highly Rated
3,tm70993,Life of Brian,MOVIE,['comedy'],1979,R,1970-01-01 00:00:00.000000094,['comedy'],['GB'],0.0,tt0079470,8.0,392419.0,17.505,7.8,47,1,Highly Rated
4,tm190788,The Exorcist,MOVIE,['horror'],1973,R,1970-01-01 00:00:00.000000133,['horror'],['US'],0.0,tt0070047,8.1,391942.0,95.337,7.7,53,1,Highly Rated
5,ts22164,Monty Python's Flying Circus,SHOW,"['comedy', 'european']",1969,TV-14,1970-01-01 00:00:00.000000030,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,72895.0,12.919,8.3,57,0,Highly Rated
6,tm14873,Dirty Harry,MOVIE,"['thriller', 'crime', 'action']",1971,R,1970-01-01 00:00:00.000000102,"['thriller', 'crime', 'action']",['US'],0.0,tt0066999,7.7,153463.0,14.745,7.5,55,1,Good
7,tm185072,My Fair Lady,MOVIE,"['drama', 'music', 'romance', 'family']",1964,G,1970-01-01 00:00:00.000000170,"['drama', 'music', 'romance', 'family']",['US'],0.0,tt0058385,7.8,94121.0,15.949,7.6,62,1,Good
8,tm98978,The Blue Lagoon,MOVIE,"['romance', 'drama']",1980,R,1970-01-01 00:00:00.000000104,"['romance', 'drama']",['US'],0.0,tt0080453,5.8,69053.0,44.038,6.2,46,1,Low Rated
9,tm119281,Bonnie and Clyde,MOVIE,"['drama', 'crime', 'action']",1967,R,1970-01-01 00:00:00.000000110,"['drama', 'crime', 'action']",['US'],0.0,tt0061418,7.7,111189.0,15.309,7.5,59,1,Good
